txn_id,customer_id,timestamp,merchant,amount_inr,txn_type,txn_country,fraud_label,hour_of_day,is_weekend,days_since_last_txn,high_risk
TXN000195,CUST0005,2023-09-09 00:00:00,swiggy,14777.95,upi,IN,1,0,True,93.0,0
TXN000326,CUST0005,2024-01-15 00:00:00,paytm,46880.33,upi,IN,0,0,False,128.0,0
TXN000346,CUST0005,2024-03-14 21:08:00,amazon,24637.5,net_banking,IN,0,21,False,59.0,0
TXN000071,CUST0005,2024-08-01 00:00:00,amazon,32254.0,card,GB,0,0,False,139.0,1
TXN000176,CUST0005,2024-09-16 19:51:00,swiggy,43261.21,upi,IN,1,19,False,46.0,0
TXN000277,CUST0006,2023-07-10 00:00:00,paytm,27932.84,net_banking,SG,0,0,False,0.0,1
TXN000334,CUST0006,2024-03-07 00:00:00,paytm,42474.01,card,IN,0,0,False,241.0,0
TXN000181,CUST0006,2024-03-18 00:00:00,zomato,12232.14,net_banking,SG,0,0,False,11.0,1
TXN000207,CUST0006,2024-04-06 00:00:00,swiggy,23978.13,upi,AE,0,0,True,19.0,1
TXN000224,CUST0006,2024-04-18 00:42:00,netflix,14253.51,upi,IN,0,0,False,12.0,0
TXN000213,CUST0006,2024-07-04 04:58:00,bigbasket,7305.49,upi,IN,0,4,False,77.0,0
TXN000006,CUST0007,2024-01-04 00:00:00,uber,11056.46,net_banking,AE,0,0,False,0.0,1
TXN000244,CUST0007,2024-02-05 08:12:00,paytm,45750.59,net_banking,GB,0,8,False,32.0,1
TXN000184,CUST0007,2024-03-08 20:34:00,swiggy,21956.91,net_banking,IN,0,20,False,32.0,0
TXN000215,CUST0007,2024-03-18 00:00:00,bigbasket,13487.73,card,IN,0,0,False,9.0,0
TXN000054,CUST0007,2024-05-03 10:18:00,amazon,34882.07,card,GB,0,10,False,46.0,1
TXN000029,CUST0007,2024-06-13 00:00:00,netflix,24581.08,card,GB,0,0,False,40.0,1
TXN000284,CUST0007,2024-08-04 04:37:00,amazon,41769.58,card,SG,1,4,True,52.0,1
TXN000174,CUST0007,2024-09-07 00:00:00,amazon,31926.3,upi,IN,0,0,True,33.0,0
TXN000189,CUST0008,2023-08-26 00:00:00,paytm,23170.33,upi,AE,0,0,True,0.0,1
TXN000145,CUST0008,2024-02-24 00:00:00,netflix,33879.5,card,IN,0,0,True,182.0,0
TXN000259,CUST0008,2024-05-28 05:52:00,netflix,38.34,upi,IN,0,5,False,94.0,0
TXN000193,CUST0008,2024-11-19 00:00:00,flipkart,44852.97,net_banking,SG,0,0,False,174.0,1
TXN000306,CUST0008,2024-12-28 00:00:00,flipkart,23222.74,net_banking,GB,0,0,True,39.0,1
TXN000078,CUST0009,2023-11-29 00:00:00,amazon,4507.73,net_banking,SG,0,0,False,0.0,1
TXN000271,CUST0009,2024-02-05 08:29:00,swiggy,44971.27,upi,US,0,8,False,68.0,1
TXN000055,CUST0009,2024-02-11 10:12:00,flipkart,22617.77,net_banking,SG,0,10,True,6.0,1
TXN000045,CUST0009,2024-04-10 00:00:00,netflix,20261.06,net_banking,GB,1,0,False,58.0,1
TXN000292,CUST0009,2024-05-07 12:11:00,uber,13616.7,upi,GB,0,12,False,27.0,1
TXN000146,CUST0009,2024-06-22 18:04:00,uber,19756.9,card,IN,0,18,True,46.0,0
TXN000216,CUST0009,2024-08-05 00:00:00,uber,1243.93,net_banking,AE,0,0,False,43.0,1
TXN000061,CUST0009,2024-08-28 10:02:00,paytm,36211.68,card,SG,0,10,False,23.0,1
TXN000203,CUST0009,2024-10-04 00:00:00,netflix,25632.95,net_banking,IN,1,0,False,36.0,0
TXN000019,CUST0009,2024-12-11 00:00:00,netflix,4109.04,net_banking,AE,0,0,False,68.0,1
TXN000180,CUST0010,2024-06-22 06:44:00,amazon,15105.59,net_banking,GB,0,6,True,0.0,1
TXN000223,CUST0010,2024-07-13 00:00:00,uber,31092.42,upi,IN,0,0,True,20.0,0
TXN000155,CUST0010,2024-12-24 15:14:00,paytm,37469.67,net_banking,GB,0,15,False,164.0,1
TXN000013,CUST0011,2023-07-30 00:00:00,paytm,15431.63,net_banking,IN,0,0,True,0.0,0
TXN000273,CUST0011,2024-02-26 00:00:00,zomato,48973.11,upi,AE,0,0,False,211.0,1
TXN000171,CUST0011,2024-04-03 00:00:00,zomato,9943.16,card,SG,0,0,False,37.0,1
TXN000220,CUST0011,2024-04-07 19:47:00,swiggy,20176.57,card,GB,0,19,True,4.0,1
TXN000228,CUST0011,2024-05-06 00:00:00,bigbasket,21925.51,net_banking,US,0,0,False,28.0,1
TXN000290,CUST0011,2024-05-12 00:00:00,zomato,40748.44,upi,AE,0,0,True,6.0,1
TXN000015,CUST0011,2024-07-13 23:39:00,uber,29989.82,upi,IN,0,23,True,62.0,0
TXN000221,CUST0012,2023-07-02 00:00:00,bigbasket,39927.57,upi,AE,0,0,True,0.0,1
TXN000342,CUST0012,2023-08-10 00:00:00,zomato,4113.92,upi,IN,0,0,False,39.0,0
TXN000164,CUST0012,2024-01-11 00:00:00,bigbasket,18381.39,upi,US,0,0,False,154.0,1
TXN000012,CUST0012,2024-06-02 00:00:00,swiggy,11946.15,net_banking,AE,0,0,True,143.0,1
TXN000079,CUST0012,2024-08-18 14:17:00,amazon,45793.34,upi,GB,0,14,True,77.0,1
TXN000165,CUST0012,2024-11-20 00:00:00,zomato,14929.12,upi,US,0,0,False,93.0,1
TXN000014,CUST0012,2024-11-28 00:00:00,paytm,28986.08,card,US,0,0,False,8.0,1
TXN000085,CUST0012,2024-12-27 19:18:00,netflix,22660.51,upi,IN,0,19,False,29.0,0
TXN000211,CUST0013,2024-02-22 00:00:00,flipkart,8305.61,net_banking,US,0,0,False,0.0,1
TXN000194,CUST0013,2024-12-19 00:00:00,amazon,46138.11,card,IN,0,0,False,301.0,0
TXN000274,CUST0014,2023-05-16 00:00:00,zomato,42531.19,net_banking,IN,0,0,False,0.0,0
TXN000336,CUST0014,2023-07-29 00:00:00,zomato,30532.53,net_banking,IN,0,0,True,74.0,0
TXN000241,CUST0014,2024-01-14 00:00:00,zomato,36129.95,card,IN,0,0,True,169.0,0
TXN000210,CUST0014,2024-02-20 00:00:00,flipkart,46100.04,card,IN,0,0,False,37.0,0
TXN000039,CUST0014,2024-03-12 00:00:00,flipkart,30051.67,upi,IN,1,0,False,21.0,0
TXN000312,CUST0014,2024-05-02 00:00:00,zomato,20970.38,upi,IN,0,0,False,51.0,0
TXN000300,CUST0014,2024-06-07 00:00:00,amazon,12889.54,upi,IN,0,0,False,36.0,0
TXN000166,CUST0014,2024-09-16 23:07:00,bigbasket,30223.74,card,US,0,23,False,101.0,1
TXN000097,CUST0014,2024-11-21 00:00:00,amazon,39215.31,card,IN,0,0,False,65.0,0
TXN000088,CUST0015,2023-10-20 00:00:00,bigbasket,13932.89,upi,IN,0,0,False,0.0,0
TXN000243,CUST0015,2024-01-25 03:14:00,zomato,7119.14,net_banking,SG,0,3,False,97.0,1
TXN000212,CUST0015,2024-02-04 00:00:00,uber,49605.06,net_banking,AE,0,0,True,9.0,1
TXN000317,CUST0015,2024-03-11 00:00:00,paytm,46421.21,net_banking,GB,0,0,False,36.0,1
TXN000186,CUST0015,2024-05-10 00:00:00,uber,23322.79,net_banking,IN,0,0,False,60.0,0
TXN000004,CUST0015,2024-09-16 22:54:00,amazon,4793.23,card,IN,0,22,False,129.0,0
TXN000043,CUST0015,2024-10-11 00:00:00,uber,10364.47,net_banking,GB,0,0,False,24.0,1
TXN000084,CUST0015,2024-12-19 13:23:00,flipkart,46601.18,card,IN,0,13,False,69.0,0
TXN000134,CUST0016,2024-01-18 05:45:00,uber,12296.99,card,GB,0,5,False,0.0,1
TXN000198,CUST0016,2024-05-21 23:32:00,uber,19333.98,card,GB,0,23,False,124.0,1
TXN000066,CUST0016,2024-07-20 16:07:00,uber,18336.07,upi,AE,0,16,True,59.0,1
TXN000086,CUST0016,2024-09-05 00:00:00,zomato,14664.71,upi,IN,0,0,False,46.0,0
TXN000230,CUST0016,2024-09-22 00:00:00,zomato,38184.35,card,GB,0,0,True,17.0,1
TXN000159,CUST0016,2024-10-23 23:07:00,flipkart,25162.6,net_banking,AE,0,23,False,31.0,1
TXN000285,CUST0016,2024-12-04 00:00:00,flipkart,29493.08,upi,GB,0,0,False,41.0,1
TXN000118,CUST0017,2024-07-24 00:00:00,amazon,12289.87,card,IN,0,0,False,0.0,0
TXN000208,CUST0017,2024-11-23 00:00:00,netflix,17630.6,card,US,0,0,True,122.0,1
TXN000119,CUST0018,2024-02-17 00:00:00,uber,447.24,card,GB,0,0,True,0.0,1
TXN000320,CUST0018,2024-03-11 00:00:00,amazon,44466.43,upi,GB,1,0,False,23.0,1
TXN000197,CUST0018,2024-05-07 00:00:00,paytm,23259.82,upi,GB,0,0,False,57.0,1
TXN000018,CUST0018,2024-05-18 00:00:00,flipkart,5027.33,card,IN,0,0,True,11.0,0
TXN000169,CUST0019,2023-07-17 00:00:00,uber,18687.43,net_banking,GB,0,0,False,0.0,1
TXN000090,CUST0019,2024-01-05 00:00:00,swiggy,11462.14,card,IN,0,0,False,172.0,0
TXN000122,CUST0019,2024-06-01 17:10:00,bigbasket,25667.16,card,GB,0,17,True,148.0,1
TXN000035,CUST0019,2024-10-08 22:14:00,zomato,41912.57,card,AE,0,22,False,129.0,1
TXN000009,CUST0019,2024-11-17 00:25:00,bigbasket,8685.42,upi,IN,0,0,True,39.0,0
TXN000111,CUST0020,2023-05-08 00:00:00,swiggy,8944.74,card,IN,0,0,False,0.0,0
TXN000202,CUST0020,2023-11-25 00:00:00,flipkart,17745.17,net_banking,IN,0,0,True,201.0,0
TXN000249,CUST0020,2024-01-05 00:00:00,amazon,15152.49,net_banking,US,0,0,False,41.0,1
TXN000005,CUST0020,2024-03-11 00:00:00,flipkart,42270.66,upi,GB,0,0,False,66.0,1
TXN000192,CUST0021,2024-01-25 00:00:00,paytm,47386.79,upi,SG,1,0,False,0.0,1
TXN000172,CUST0021,2024-03-26 00:00:00,flipkart,811.92,net_banking,IN,0,0,False,61.0,0
TXN000275,CUST0021,2024-04-01 00:00:00,flipkart,47783.86,upi,AE,0,0,False,6.0,1
TXN000234,CUST0021,2024-07-05 00:53:00,amazon,28321.87,card,AE,0,0,False,95.0,1
TXN000058,CUST0021,2024-07-16 00:00:00,amazon,17265.76,upi,IN,0,0,False,10.0,0
TXN000327,CUST0021,2024-07-26 19:33:00,netflix,5920.14,net_banking,GB,1,19,False,10.0,1
TXN000280,CUST0022,2023-04-05 00:00:00,netflix,16536.69,card,IN,0,0,False,0.0,0
TXN000042,CUST0022,2023-08-28 00:00:00,bigbasket,39405.62,net_banking,IN,0,0,False,145.0,0
TXN000001,CUST0022,2023-12-12 00:00:00,amazon,48933.84,net_banking,GB,0,0,False,106.0,1
TXN000132,CUST0022,2024-07-22 17:15:00,swiggy,28697.49,upi,GB,0,17,False,223.0,1
TXN000063,CUST0022,2024-12-28 00:00:00,amazon,4482.15,card,IN,0,0,True,158.0,0
TXN000069,CUST0023,2023-04-14 00:00:00,netflix,904857.5985000025,net_banking,AE,0,0,False,0.0,1
TXN000068,CUST0023,2023-11-12 00:00:00,uber,23931.75,upi,IN,0,0,True,212.0,0
TXN000345,CUST0023,2024-02-23 00:00:00,bigbasket,27023.12,card,IN,0,0,False,103.0,0
TXN000270,CUST0023,2024-04-09 00:00:00,uber,22985.72,card,IN,0,0,False,46.0,0
TXN000153,CUST0023,2024-05-14 03:31:00,paytm,30279.8,card,US,0,3,False,35.0,1
TXN000002,CUST0023,2024-07-18 04:54:00,amazon,3614557.3647999996,upi,IN,0,4,False,65.0,0
TXN000021,CUST0024,2023-10-02 00:00:00,amazon,22131.95,upi,IN,0,0,False,0.0,0
TXN000138,CUST0024,2024-03-21 00:00:00,amazon,32010.4,card,GB,0,0,False,171.0,1
TXN000257,CUST0024,2024-03-28 00:00:00,paytm,12764.84,card,IN,0,0,False,7.0,0
TXN000204,CUST0024,2024-07-02 00:00:00,uber,23860.63,upi,AE,0,0,False,96.0,1
TXN000278,CUST0024,2024-08-13 00:00:00,uber,44459.62,upi,IN,0,0,False,42.0,0
TXN000160,CUST0024,2024-08-20 00:00:00,paytm,24991.34,card,AE,0,0,False,7.0,1
TXN000028,CUST0024,2024-09-19 00:00:00,bigbasket,44091.5,net_banking,IN,0,0,False,30.0,0
TXN000101,CUST0024,2024-10-20 22:31:00,paytm,27401.45,upi,IN,0,22,True,31.0,0
TXN000232,CUST0025,2024-01-19 21:20:00,zomato,38967.6,upi,IN,0,21,False,0.0,0
TXN000070,CUST0025,2024-03-24 00:00:00,bigbasket,42683.81,card,IN,0,0,True,64.0,0
TXN000248,CUST0025,2024-04-16 00:00:00,paytm,2104.16,net_banking,AE,0,0,False,23.0,1
TXN000024,CUST0025,2024-11-05 00:00:00,paytm,30756.5,net_banking,IN,0,0,False,203.0,0
TXN000144,CUST0025,2024-12-14 00:00:00,uber,39943.91,net_banking,IN,0,0,True,39.0,0
TXN000065,CUST0026,2024-02-02 11:11:00,paytm,11435.56,card,IN,0,11,False,0.0,0
TXN000238,CUST0026,2024-03-25 00:00:00,amazon,18902.47,card,IN,0,0,False,51.0,0
TXN000075,CUST0026,2024-07-06 04:59:00,paytm,48935.5315,card,AE,0,4,True,103.0,1
TXN000136,CUST0026,2024-08-22 00:00:00,uber,5502.71,card,IN,0,0,False,46.0,0
TXN000100,CUST0026,2024-09-17 19:24:00,flipkart,8805.44,upi,US,0,19,False,26.0,1
TXN000314,CUST0026,2024-10-08 17:49:00,swiggy,4065.65,upi,IN,0,17,False,20.0,0
TXN000251,CUST0027,2023-06-05 00:00:00,uber,9732.73,net_banking,IN,1,0,False,0.0,0
TXN000283,CUST0027,2024-02-21 00:00:00,swiggy,33390.92,upi,GB,0,0,False,261.0,1
TXN000033,CUST0027,2024-03-11 12:10:00,bigbasket,24956.62,upi,IN,0,12,False,19.0,0
TXN000338,CUST0027,2024-06-14 00:00:00,netflix,7968.01,card,IN,0,0,False,94.0,0
TXN000123,CUST0027,2024-07-17 22:05:00,zomato,1045.69,net_banking,IN,0,22,False,33.0,0
TXN000344,CUST0027,2024-10-15 00:00:00,paytm,434.41,upi,GB,0,0,False,89.0,1
TXN000217,CUST0028,2023-09-06 00:00:00,uber,10942.5,card,US,0,0,False,0.0,1
TXN000214,CUST0028,2024-01-04 00:00:00,uber,35558.14,upi,IN,0,0,False,120.0,0
TXN000350,CUST0028,2024-02-14 00:00:00,paytm,32402.01,upi,IN,0,0,False,41.0,0
TXN000152,CUST0028,2024-06-18 00:00:00,paytm,17703.23,net_banking,AE,0,0,False,125.0,1
TXN000027,CUST0028,2024-07-27 07:55:00,bigbasket,3554328.76,upi,IN,0,7,True,39.0,0
TXN000260,CUST0029,2024-02-01 00:00:00,swiggy,3320.75,upi,IN,0,0,False,0.0,0
TXN000074,CUST0029,2024-04-10 00:00:00,bigbasket,42296.67,upi,IN,0,0,False,69.0,0
TXN000339,CUST0029,2024-04-24 00:00:00,bigbasket,16363.87,card,AE,0,0,False,14.0,1
TXN000096,CUST0029,2024-06-16 01:33:00,zomato,32734.55,card,IN,0,1,True,53.0,0
TXN000263,CUST0030,2024-01-08 01:07:00,netflix,24138.4,card,IN,0,1,False,0.0,0
TXN000253,CUST0030,2024-03-20 00:00:00,flipkart,20885.28,upi,GB,1,0,False,71.0,1
TXN000107,CUST0030,2024-03-27 00:00:00,paytm,35629.33,net_banking,SG,0,0,False,7.0,1
TXN000190,CUST0030,2024-08-03 00:00:00,netflix,20795.84,upi,IN,0,0,True,129.0,0
TXN000329,CUST0030,2024-08-19 00:00:00,paytm,43956.5,net_banking,GB,0,0,False,16.0,1
TXN000225,CUST0030,2024-08-21 00:00:00,bigbasket,2555.31,upi,IN,0,0,False,2.0,0
TXN000150,CUST0030,2024-11-12 22:15:00,flipkart,1893953.26,upi,IN,0,22,False,83.0,0
TXN000008,CUST0030,2024-11-18 00:00:00,bigbasket,8290.47,card,AE,0,0,False,5.0,1
TXN000038,CUST0031,2023-05-08 00:00:00,netflix,35175.78,upi,IN,0,0,False,0.0,0
TXN000205,CUST0031,2023-05-31 00:00:00,amazon,46699.52,net_banking,IN,0,0,False,23.0,0
TXN000161,CUST0031,2023-10-25 00:00:00,amazon,40243.89,net_banking,AE,0,0,False,147.0,1
TXN000245,CUST0031,2024-06-18 10:34:00,zomato,4668.55,card,SG,1,10,False,237.0,1
TXN000091,CUST0031,2024-06-21 07:37:00,swiggy,3497262.04,upi,US,0,7,False,2.0,1
TXN000187,CUST0031,2024-07-21 00:00:00,zomato,23265.58,upi,SG,0,0,True,29.0,1
TXN000288,CUST0031,2024-08-04 07:03:00,zomato,38917.02,upi,GB,0,7,True,14.0,1
TXN000126,CUST0031,2024-08-11 08:47:00,zomato,6756.11,upi,US,0,8,True,7.0,1
TXN000265,CUST0031,2024-08-19 20:28:00,uber,23420.65,upi,IN,0,20,False,8.0,0
TXN000282,CUST0032,2023-05-03 00:00:00,flipkart,26340.19,net_banking,IN,0,0,False,0.0,0
TXN000227,CUST0032,2023-05-07 00:00:00,zomato,6173.66,upi,AE,0,0,True,4.0,1
TXN000298,CUST0032,2023-07-22 00:00:00,flipkart,29588.73,upi,IN,1,0,True,76.0,0
TXN000116,CUST0032,2023-08-18 00:00:00,zomato,7644.4,net_banking,AE,0,0,False,27.0,1
TXN000340,CUST0032,2023-12-03 00:00:00,uber,18848.61,upi,IN,0,0,True,107.0,0
TXN000080,CUST0032,2024-03-05 15:45:00,zomato,4627.92,net_banking,AE,0,15,False,93.0,1
TXN000162,CUST0032,2024-03-19 00:00:00,swiggy,10352.58,upi,SG,0,0,False,13.0,1
TXN000087,CUST0032,2024-10-04 02:51:00,amazon,42926.43,net_banking,GB,0,2,False,199.0,1
TXN000302,CUST0032,2024-10-13 00:00:00,zomato,27755.15,upi,US,0,0,True,8.0,1
TXN000324,CUST0033,2023-04-03 00:00:00,netflix,23663.98,net_banking,SG,0,0,False,0.0,1
TXN000059,CUST0033,2023-12-08 00:00:00,uber,19054.74,card,SG,0,0,False,249.0,1
TXN000175,CUST0033,2024-01-02 00:00:00,bigbasket,7367.04,upi,IN,0,0,False,25.0,0
TXN000337,CUST0033,2024-04-27 00:00:00,bigbasket,8253.07,net_banking,GB,0,0,True,116.0,1
TXN000246,CUST0033,2024-07-10 04:13:00,amazon,19200.64,net_banking,AE,0,4,False,74.0,1
TXN000297,CUST0033,2024-08-14 22:27:00,flipkart,2573.82,upi,IN,0,22,False,35.0,0
TXN000255,CUST0033,2024-12-24 02:27:00,zomato,7590.81,net_banking,IN,0,2,False,131.0,0
TXN000250,CUST0034,2024-01-14 03:23:00,flipkart,47678.45,upi,IN,0,3,True,0.0,0
TXN000191,CUST0034,2024-03-07 23:36:00,bigbasket,2576.8,upi,GB,0,23,False,53.0,1
TXN000233,CUST0034,2024-03-20 00:00:00,paytm,36435.94,card,AE,0,0,False,12.0,1
TXN000081,CUST0034,2024-09-11 23:57:00,paytm,34768.69,card,AE,0,23,False,175.0,1
TXN000022,CUST0034,2024-10-13 06:08:00,bigbasket,36960.83,card,IN,1,6,True,31.0,0
TXN000286,CUST0034,2024-12-02 14:05:00,zomato,34133.25,upi,SG,0,14,False,50.0,1
TXN000293,CUST0034,2024-12-07 00:00:00,flipkart,46997.6,upi,IN,0,0,True,4.0,0
TXN000062,CUST0035,2024-10-09 00:00:00,amazon,45460.31,upi,IN,0,0,False,0.0,0
TXN000182,CUST0036,2023-09-21 00:00:00,amazon,828.74,upi,IN,0,0,False,0.0,0
TXN000157,CUST0036,2024-01-19 00:00:00,flipkart,26178.29,upi,AE,0,0,False,120.0,1
TXN000323,CUST0036,2024-01-20 00:00:00,flipkart,7710.76,upi,GB,0,0,True,1.0,1
TXN000137,CUST0036,2024-04-15 00:00:00,flipkart,12418.26,card,IN,0,0,False,86.0,0
TXN000057,CUST0036,2024-06-20 00:00:00,zomato,19449.61,net_banking,SG,0,0,False,66.0,1
TXN000321,CUST0036,2024-06-26 00:00:00,swiggy,21786.82,card,AE,0,0,False,6.0,1
TXN000120,CUST0036,2024-07-09 00:00:00,amazon,42771.81,net_banking,US,0,0,False,13.0,1
TXN000041,CUST0036,2024-09-09 12:54:00,netflix,18889.44,upi,IN,0,12,False,62.0,0
TXN000117,CUST0037,2023-05-01 00:00:00,amazon,46608.18,net_banking,SG,0,0,False,0.0,1
TXN000010,CUST0037,2023-06-18 00:00:00,bigbasket,11024.88,card,IN,0,0,True,48.0,0
TXN000092,CUST0037,2023-07-11 00:00:00,bigbasket,26030.19,card,IN,0,0,False,23.0,0
TXN000151,CUST0037,2023-12-16 00:00:00,uber,47164.83,upi,IN,0,0,True,158.0,0
TXN000130,CUST0037,2024-03-20 02:32:00,uber,43085.8,card,IN,0,2,False,95.0,0
TXN000301,CUST0037,2024-04-15 00:00:00,flipkart,41205.21,card,IN,1,0,False,25.0,0
TXN000347,CUST0037,2024-04-15 00:00:00,netflix,4624.83,upi,IN,0,0,False,0.0,0
TXN000328,CUST0037,2024-11-08 20:04:00,zomato,11791.76,net_banking,IN,0,20,False,207.0,0
TXN000129,CUST0038,2023-03-31 00:00:00,netflix,6623.23,upi,AE,0,0,False,0.0,1
TXN000133,CUST0038,2023-05-06 00:00:00,uber,13971.06,upi,US,0,0,True,36.0,1
TXN000229,CUST0038,2024-02-10 00:00:00,amazon,24380.97,net_banking,IN,0,0,True,280.0,0
TXN000256,CUST0038,2024-10-01 13:14:00,zomato,27357.33,net_banking,US,0,13,False,234.0,1
TXN000272,CUST0039,2024-01-04 01:35:00,swiggy,30843.75,upi,US,0,1,False,0.0,1
TXN000333,CUST0039,2024-07-13 00:00:00,swiggy,20271.83,net_banking,IN,0,0,True,190.0,0
TXN000319,CUST0039,2024-10-01 10:15:00,swiggy,15704.71,upi,SG,0,10,False,80.0,1
TXN000196,CUST0040,2023-03-27 00:00:00,uber,2665.44,card,IN,0,0,False,0.0,0
TXN000064,CUST0040,2023-05-09 00:00:00,bigbasket,12753.74,net_banking,IN,0,0,False,43.0,0
TXN000349,CUST0040,2023-06-10 00:00:00,zomato,40406.84,upi,SG,0,0,True,32.0,1
TXN000276,CUST0040,2023-10-12 00:00:00,flipkart,12911.59,card,AE,0,0,False,124.0,1
TXN000219,CUST0040,2024-04-07 00:00:00,flipkart,1216.75,net_banking,IN,0,0,True,178.0,0
TXN000109,CUST0040,2024-05-07 02:33:00,uber,5084.5,card,SG,0,2,False,30.0,1
TXN000040,CUST0040,2024-06-12 00:41:00,zomato,34949.45,card,SG,0,0,False,35.0,1
TXN000076,CUST0040,2024-09-26 13:26:00,flipkart,18234.95,net_banking,SG,0,13,False,106.0,1
TXN000188,CUST0040,2024-10-28 00:00:00,amazon,904857.5985000025,net_banking,IN,0,0,False,31.0,0
TXN000299,CUST0041,2024-01-07 03:35:00,amazon,40085.67,card,IN,0,3,True,0.0,0
TXN000077,CUST0041,2024-06-28 00:00:00,paytm,38037.9,upi,SG,0,0,False,172.0,1
TXN000311,CUST0041,2024-10-16 21:29:00,zomato,37128.75,upi,US,1,21,False,110.0,1
TXN000237,CUST0041,2024-12-13 02:51:00,paytm,46648.05,card,AE,0,2,False,57.0,1
TXN000254,CUST0042,2023-04-15 00:00:00,swiggy,41297.85,card,IN,0,0,True,0.0,0
TXN000025,CUST0042,2023-12-12 00:00:00,uber,19014.33,card,IN,0,0,False,241.0,0
TXN000056,CUST0042,2024-04-24 00:00:00,flipkart,40007.03,upi,SG,0,0,False,134.0,1
TXN000156,CUST0042,2024-07-10 00:00:00,uber,37584.05,card,IN,0,0,False,77.0,0
TXN000315,CUST0043,2023-04-18 00:00:00,amazon,8130.65,net_banking,AE,1,0,False,0.0,1
TXN000316,CUST0043,2023-12-28 00:00:00,paytm,24063.87,card,AE,0,0,False,254.0,1
TXN000170,CUST0043,2024-03-01 00:00:00,amazon,15734.11,card,IN,0,0,False,64.0,0
TXN000142,CUST0043,2024-03-19 00:00:00,paytm,38.66,upi,US,0,0,False,18.0,1
TXN000037,CUST0043,2024-04-28 00:00:00,paytm,18654.32,card,SG,0,0,True,40.0,1
TXN000348,CUST0043,2024-09-15 00:00:00,netflix,48503.31,card,GB,0,0,True,140.0,1
TXN000252,CUST0044,2024-04-18 15:17:00,flipkart,28469.05,upi,IN,0,15,False,0.0,0
TXN000287,CUST0044,2024-09-02 00:00:00,netflix,40311.39,upi,AE,0,0,False,136.0,1
TXN000239,CUST0045,2023-03-15 00:00:00,paytm,33034.21,upi,IN,0,0,False,0.0,0
TXN000034,CUST0045,2023-06-10 00:00:00,bigbasket,30785.74,net_banking,GB,0,0,True,87.0,1
TXN000331,CUST0045,2023-12-24 00:00:00,zomato,47914.13,upi,IN,0,0,True,197.0,0
TXN000185,CUST0045,2024-01-26 01:12:00,amazon,24343.92,card,IN,0,1,False,33.0,0
TXN000083,CUST0045,2024-02-01 00:00:00,flipkart,3971.98,net_banking,AE,0,0,False,5.0,1
TXN000295,CUST0045,2024-03-12 17:55:00,zomato,48638.33,upi,SG,0,17,False,40.0,1
