txn_id,customer_id,timestamp,merchant,amount_inr,txn_type,txn_country,card_issue_country,fraud_label
TXN000039,CUST0014,45363,flipkart pvt ltd,30051.67,upi,IN,IN,1
TXN000040,CUST0040,2024-06-12T00:41:00,zomato,34949.45,card,SG,IN,0
TXN000041,CUST0036,2024-09-09T12:54:00,NETFLIX INC,18889.44,upi,IN,IN,0
TXN000042,CUST0022,45166,BigBasket,39405.62,net_banking,IN,IN,0
TXN000043,CUST0015,1728604800,Uber,10364.47,NetBanking,GB,IN,0
TXN000044,CUST0057,2024-11-10T08:14:00,Netflix,15717.45,card,IN,IN,0
TXN000045,CUST0009,1712707200,NETFLIX INC,20261.06,net_banking,GB,IN,1
TXN000046,CUST0053,45319,Netflix,12445.8,UPI,IN,IN,0
TXN000047,CUST0045,1731801600,Amazon,14541.03,card,SG,IN,0
TXN000048,CUST0050,45038,AMAZON INC,11552.46,NetBanking,IN,IN,0
TXN000049,CUST0058,1724112000,Flipkart,30025.78,Card,IN,IN,0
TXN000050,CUST0049,2024-03-02T06:33:00,SWIGGY INDIA PVT LTD,23490.95,NetBanking,IN,IN,0
TXN000051,CUST0053,45170,Amazon,1223.56,upi,IN,IN,0
TXN000052,CUST0057,45120,NETFLIX INC,46763.92,NetBanking,IN,IN,0
TXN000053,CUST0053,2024-01-03T11:13:00,NETFLIX INC,12211.2,UPI,IN,IN,0
TXN000054,CUST0007,2024-05-03T10:18:00,Amazon Ltd,34882.07,Card,GB,IN,0
TXN000055,CUST0009,2024-02-11T10:12:00,flipkart pvt ltd,22617.77,net_banking,SG,IN,0
TXN000056,CUST0042,1713916800,flipkart pvt ltd,40007.03,UPI,SG,IN,0
TXN000057,CUST0036,1718841600,zomato,19449.61,net_banking,SG,IN,0
TXN000058,CUST0021,1721088000,Amazon Ltd,17265.76,UPI,IN,IN,0
TXN000059,CUST0033,45268,UBER INDIA,19054.74,card,SG,IN,0
TXN000060,CUST0051,1714089600,Amazon Ltd,24552.96,NetBanking,GB,IN,0
TXN000061,CUST0009,2024-08-28T10:02:00,Paytm,36211.68,card,SG,IN,0
TXN000062,CUST0035,1728432000,Amazon Ltd,45460.31,upi,IN,IN,0
TXN000063,CUST0022,1735344000,AMAZON INC,4482.15,card,IN,IN,0
TXN000064,CUST0040,45055,BigBasket,12753.74,net_banking,IN,IN,0
TXN000065,CUST0026,2024-02-02T11:11:00,Paytm,11435.56,card,IN,IN,0
TXN000066,CUST0016,2024-07-20T16:07:00,UBER INDIA,18336.07,upi,AE,IN,0
TXN000067,CUST0047,45302,Flipkart,49854.98,card,AE,IN,0
TXN000068,CUST0023,45242,UBER INDIA,23931.75,UPI,IN,IN,0
TXN000069,CUST0023,45030,Netflix,1243497.04,NetBanking,AE,IN,0
TXN000070,CUST0025,45375,BigBasket,42683.81,card,IN,IN,0
TXN000071,CUST0005,1722470400,AMAZON INC,32254.0,card,GB,IN,0
TXN000072,CUST0049,2024-06-05T07:54:00,PAYTM LIMITED,29959.27,Card,AE,IN,0
TXN000073,CUST0001,45269,zomato,40509.01,Card,AE,IN,0
TXN000074,CUST0029,45392,big basket,42296.67,upi,IN,IN,0
TXN000075,CUST0026,2024-07-06T04:59:00,Paytm,48958.28,card,AE,IN,0
TXN000076,CUST0040,2024-09-26T13:26:00,flipkart pvt ltd,18234.95,NetBanking,SG,IN,0
TXN000077,CUST0041,1719532800,Paytm,38037.9,UPI,SG,IN,0
TXN000078,CUST0009,45259,Amazon,4507.73,net_banking,SG,IN,0
TXN000079,CUST0012,2024-08-18T14:17:00,Amazon,45793.34,upi,GB,IN,0
TXN000080,CUST0032,2024-03-05T15:45:00,zomato,4627.92,NetBanking,AE,IN,0
TXN000081,CUST0034,2024-09-11T23:57:00,PAYTM LIMITED,34768.69,Card,AE,IN,0
TXN000082,CUST0058,45143,SWIGGY INDIA PVT LTD,2512.75,UPI,IN,IN,0
TXN000083,CUST0045,45323,Flipkart,3971.98,NetBanking,AE,IN,0
TXN000084,CUST0015,2024-12-19T13:23:00,Flipkart,46601.18,card,IN,IN,0
TXN000085,CUST0012,2024-12-27T19:18:00,Netflix,22660.51,upi,IN,IN,0
TXN000086,CUST0016,1725494400,zomato,14664.71,UPI,IN,IN,0
TXN000087,CUST0032,2024-10-04T02:51:00,Amazon,42926.43,net_banking,GB,IN,0
TXN000088,CUST0015,45219,BigBasket,13932.89,upi,IN,IN,0
TXN000089,CUST0047,2024-01-05T00:56:00,UBER INDIA,45798.98,NetBanking,IN,IN,0
TXN000090,CUST0019,1704412800,Swiggy,11462.14,Card,IN,IN,0
TXN000091,CUST0031,2024-06-21T07:37:00,SWIGGY INDIA PVT LTD,3497262.04,UPI,US,IN,0
TXN000092,CUST0037,45118,BigBasket,26030.19,Card,IN,IN,0
TXN000093,CUST0003,1712275200,Paytm,11598.46,upi,IN,IN,1
TXN000094,CUST0002,45059,Uber,4622.63,UPI,IN,IN,0
TXN000095,CUST0057,2024-06-03T06:00:00,Zomato,2616.81,upi,IN,IN,0
TXN000096,CUST0029,2024-06-16T01:33:00,zomato,32734.55,card,IN,IN,0
TXN000097,CUST0014,1732147200,Amazon Ltd,39215.31,Card,IN,IN,0
TXN000098,CUST0001,2024-09-24T05:43:00,BigBasket,47692.41,card,IN,IN,0
TXN000099,CUST0051,1715299200,Uber,47076.02,upi,IN,IN,0
TXN000100,CUST0026,2024-09-17T19:24:00,flipkart pvt ltd,8805.44,UPI,US,IN,0
TXN000101,CUST0024,2024-10-20T22:31:00,Paytm,27401.45,upi,IN,IN,0
TXN000102,CUST0053,1724803200,UBER INDIA,47101.39,Card,IN,IN,0
TXN000103,CUST0004,45113,Swiggy,44747.15,net_banking,AE,IN,0
TXN000104,CUST0004,2024-08-21T14:46:00,UBER INDIA,11819.9,net_banking,GB,IN,1
TXN000105,CUST0050,2024-11-14T04:47:00,BigBasket,40388.36,UPI,IN,IN,0
TXN000106,CUST0046,1710201600,BigBasket,9777.3,net_banking,IN,IN,0
TXN000107,CUST0030,45378,Paytm,35629.33,net_banking,SG,IN,0
TXN000108,CUST0005,45085,SWIGGY INDIA PVT LTD,3378.43,card,AE,IN,0
TXN000109,CUST0040,2024-05-07T02:33:00,UBER INDIA,5084.5,card,SG,IN,0
TXN000110,CUST0049,1711152000,zomato,40866.32,upi,IN,IN,0
TXN000111,CUST0020,45054,SWIGGY INDIA PVT LTD,8944.74,card,IN,IN,0
TXN000112,CUST0058,45068,SWIGGY INDIA PVT LTD,6215.62,NetBanking,US,IN,0
TXN000113,CUST0051,1707091200,UBER INDIA,23132.23,NetBanking,US,IN,0
TXN000114,CUST0003,1728086400,Amazon,38045.41,Card,GB,IN,0
TXN000115,CUST0004,45003,Netflix,36163.19,net_banking,IN,IN,0
TXN000116,CUST0032,45156,Zomato,7644.4,net_banking,AE,IN,0
TXN000117,CUST0037,45047,Amazon Ltd,46608.18,NetBanking,SG,IN,0
TXN000118,CUST0017,1721779200,Amazon,12289.87,Card,IN,IN,0
TXN000119,CUST0018,1708128000,Uber,447.24,Card,GB,IN,0
TXN000120,CUST0036,1720483200,Amazon Ltd,42771.81,net_banking,US,IN,0
TXN000121,CUST0051,2024-03-07T22:35:00,AMAZON INC,38319.82,net_banking,IN,IN,0
TXN000122,CUST0019,2024-06-01T17:10:00,big basket,25667.16,Card,GB,IN,0
TXN000123,CUST0027,2024-07-17T22:05:00,zomato,1045.69,NetBanking,IN,IN,0
TXN000124,CUST0046,45233,PAYTM LIMITED,25230.44,card,IN,IN,0
TXN000125,CUST0051,1710201600,flipkart pvt ltd,2851.94,Card,IN,IN,0
TXN000126,CUST0031,2024-08-11T08:47:00,zomato,6756.11,upi,US,IN,0
TXN000127,CUST0052,2024-09-21T08:30:00,Uber,2426.74,NetBanking,GB,IN,0
TXN000128,CUST0057,1720137600,AMAZON INC,7803.91,UPI,IN,IN,0
TXN000129,CUST0038,45016,NETFLIX INC,6623.23,upi,AE,IN,0
TXN000130,CUST0037,2024-03-20T02:32:00,Uber,43085.8,Card,IN,IN,0
TXN000131,CUST0003,45379,Flipkart,41715.65,card,IN,IN,1
TXN000132,CUST0022,2024-07-22T17:15:00,Swiggy,28697.49,upi,GB,IN,0
TXN000133,CUST0038,45052,Uber,13971.06,UPI,US,IN,0
TXN000134,CUST0016,2024-01-18T05:45:00,Uber,12296.99,card,GB,IN,0
TXN000135,CUST0053,2024-02-21T15:11:00,NETFLIX INC,8765.5,card,AE,IN,0
TXN000136,CUST0026,1724284800,UBER INDIA,5502.71,card,IN,IN,0
TXN000137,CUST0036,1713139200,flipkart pvt ltd,12418.26,card,IN,IN,0
TXN000138,CUST0024,45372,AMAZON INC,32010.4,Card,GB,IN,0
TXN000139,CUST0004,1729468800,SWIGGY INDIA PVT LTD,37728.14,upi,AE,IN,0
TXN000140,CUST0056,45095,NETFLIX INC,3363.03,UPI,AE,IN,0
TXN000141,CUST0053,1717632000,big basket,18877.48,NetBanking,SG,IN,0
TXN000142,CUST0043,1710806400,PAYTM LIMITED,38.66,upi,US,IN,0
TXN000143,CUST0046,45314,Netflix,23044.03,upi,IN,IN,0
TXN000144,CUST0025,1734134400,Uber,39943.91,net_banking,IN,IN,0
TXN000145,CUST0008,1708732800,Netflix,33879.5,card,IN,IN,0
TXN000146,CUST0009,2024-06-22T18:04:00,UBER INDIA,19756.9,card,IN,IN,0
TXN000147,CUST0002,45155,Amazon Ltd,27078.03,upi,AE,IN,0
TXN000148,CUST0048,1726617600,Zomato,20200.88,NetBanking,IN,IN,0
TXN000149,CUST0045,1712361600,Swiggy,26257.29,upi,IN,IN,0
TXN000150,CUST0030,2024-11-12T22:15:00,flipkart pvt ltd,1893953.26,upi,IN,IN,0
TXN000151,CUST0037,45276,Uber,47164.83,UPI,IN,IN,0
TXN000152,CUST0028,1718668800,PAYTM LIMITED,17703.23,net_banking,AE,IN,0
TXN000153,CUST0023,2024-05-14T03:31:00,PAYTM LIMITED,30279.8,card,US,IN,0
TXN000154,CUST0003,45330,zomato,35920.61,UPI,GB,IN,0
TXN000155,CUST0010,2024-12-24T15:14:00,PAYTM LIMITED,37469.67,net_banking,GB,IN,0
TXN000156,CUST0042,1720569600,UBER INDIA,37584.05,Card,IN,IN,0
TXN000157,CUST0036,1705622400,Flipkart,26178.29,upi,AE,IN,0
TXN000158,CUST0046,2024-05-28T08:36:00,big basket,20389.84,UPI,SG,IN,0
TXN000159,CUST0016,2024-10-23T23:07:00,flipkart pvt ltd,25162.6,NetBanking,AE,IN,0
TXN000160,CUST0024,1724112000,PAYTM LIMITED,24991.34,Card,AE,IN,0
TXN000161,CUST0031,45224,Amazon Ltd,40243.89,NetBanking,AE,IN,0
TXN000162,CUST0032,1710806400,Swiggy,10352.58,UPI,SG,IN,0
TXN000163,CUST0004,1722643200,PAYTM LIMITED,29993.91,NetBanking,IN,IN,0
TXN000164,CUST0012,1704931200,BigBasket,18381.39,UPI,US,IN,0
TXN000165,CUST0012,1732060800,Zomato,14929.12,UPI,US,IN,0
TXN000166,CUST0014,2024-09-16T23:07:00,big basket,30223.74,card,US,IN,0
TXN000167,CUST0056,1724371200,Amazon,20626.53,upi,AE,IN,1
TXN000168,CUST0057,2024-03-19T17:58:00,SWIGGY INDIA PVT LTD,18803.45,card,AE,IN,0
TXN000169,CUST0019,45124,Uber,18687.43,NetBanking,GB,IN,0
TXN000170,CUST0043,1709251200,Amazon Ltd,15734.11,Card,IN,IN,0
TXN000171,CUST0011,45385,Zomato,9943.16,Card,SG,IN,0
TXN000172,CUST0021,1711411200,flipkart pvt ltd,811.92,net_banking,IN,IN,0
TXN000173,CUST0057,2024-07-24T23:55:00,Amazon,21782.52,card,SG,IN,0
TXN000174,CUST0007,1725667200,AMAZON INC,31926.3,upi,IN,IN,0
TXN000175,CUST0033,1704153600,BigBasket,7367.04,upi,IN,IN,0
TXN000176,CUST0005,2024-09-16T19:51:00,SWIGGY INDIA PVT LTD,43261.21,UPI,IN,IN,1
TXN000177,CUST0001,45238,Zomato,39528.31,Card,IN,IN,0
TXN000178,CUST0051,45257,AMAZON INC,37463.77,upi,IN,IN,1
TXN000179,CUST0054,45291,AMAZON INC,32457.08,UPI,IN,IN,0
TXN000180,CUST0010,2024-06-22T06:44:00,Amazon Ltd,15105.59,net_banking,GB,IN,0
TXN000181,CUST0006,45369,Zomato,12232.14,net_banking,SG,IN,0
TXN000182,CUST0036,45190,Amazon,828.74,upi,IN,IN,0
TXN000183,CUST0001,45263,Swiggy,11361.3,NetBanking,IN,IN,0
TXN000184,CUST0007,2024-03-08T20:34:00,SWIGGY INDIA PVT LTD,21956.91,NetBanking,IN,IN,0
TXN000185,CUST0045,2024-01-26T01:12:00,Amazon,24343.92,card,IN,IN,0
TXN000186,CUST0015,1715299200,Uber,23322.79,net_banking,IN,IN,0
TXN000187,CUST0031,1721520000,zomato,23265.58,upi,SG,IN,0
TXN000188,CUST0040,1730073600,Amazon Ltd,949870.89,net_banking,IN,IN,0
TXN000189,CUST0008,45164,PAYTM LIMITED,23170.33,upi,AE,IN,0
TXN000190,CUST0030,1722643200,NETFLIX INC,20795.84,upi,IN,IN,0
TXN000191,CUST0034,2024-03-07T23:36:00,BigBasket,2576.8,UPI,GB,IN,0
TXN000192,CUST0021,1706140800,PAYTM LIMITED,47386.79,upi,SG,IN,1
TXN000193,CUST0008,1731974400,Flipkart,44852.97,net_banking,SG,IN,0
TXN000194,CUST0013,1734566400,AMAZON INC,46138.11,Card,IN,IN,0
TXN000195,CUST0005,45178,SWIGGY INDIA PVT LTD,14777.95,UPI,IN,IN,1
TXN000196,CUST0040,45012,Uber,2665.44,card,IN,IN,0
TXN000197,CUST0018,1715040000,PAYTM LIMITED,23259.82,UPI,GB,IN,0
TXN000198,CUST0016,2024-05-21T23:32:00,UBER INDIA,19333.98,Card,GB,IN,0
TXN000199,CUST0003,1705708800,Uber,32675.07,net_banking,IN,IN,0
TXN000200,CUST0057,1705622400,big basket,21674.78,UPI,AE,IN,0
TXN000201,CUST0052,2024-08-03T06:43:00,PAYTM LIMITED,29915.84,card,AE,IN,0
TXN000202,CUST0020,45255,flipkart pvt ltd,17745.17,NetBanking,IN,IN,0
TXN000203,CUST0009,1728000000,Netflix,25632.95,NetBanking,IN,IN,1
TXN000204,CUST0024,1719878400,Uber,23860.63,UPI,AE,IN,0
TXN000205,CUST0031,45077,Amazon Ltd,46699.52,net_banking,IN,IN,0
TXN000206,CUST0058,45077,Amazon Ltd,43432.77,upi,US,IN,0
TXN000207,CUST0006,1712361600,SWIGGY INDIA PVT LTD,23978.13,upi,AE,IN,0
TXN000208,CUST0017,1732320000,NETFLIX INC,17630.6,card,US,IN,0
TXN000209,CUST0059,2024-07-15T21:08:00,big basket,9682.03,upi,US,IN,0
TXN000210,CUST0014,1708387200,Flipkart,46100.04,card,IN,IN,0
TXN000211,CUST0013,45344,flipkart pvt ltd,8305.61,NetBanking,US,IN,0
TXN000212,CUST0015,1707004800,UBER INDIA,49605.06,NetBanking,AE,IN,0
TXN000213,CUST0006,2024-07-04T04:58:00,BigBasket,7305.49,UPI,IN,IN,0
TXN000214,CUST0028,1704326400,UBER INDIA,35558.14,UPI,IN,IN,0
TXN000215,CUST0007,45369,big basket,13487.73,Card,IN,IN,0
TXN000216,CUST0009,1722816000,Uber,1243.93,NetBanking,AE,IN,0
TXN000217,CUST0028,45175,UBER INDIA,10942.5,card,US,IN,0
TXN000218,CUST0047,45380,Uber,26059.34,Card,IN,IN,0
TXN000219,CUST0040,45389,Flipkart,1216.75,net_banking,IN,IN,0
TXN000220,CUST0011,2024-04-07T19:47:00,SWIGGY INDIA PVT LTD,20176.57,Card,GB,IN,0
TXN000221,CUST0012,45109,big basket,39927.57,upi,AE,IN,0
TXN000222,CUST0001,1716076800,zomato,23019.95,net_banking,AE,IN,0
TXN000223,CUST0010,1720828800,UBER INDIA,31092.42,upi,IN,IN,0
TXN000224,CUST0006,2024-04-18T00:42:00,Netflix,14253.51,upi,IN,IN,0
TXN000225,CUST0030,1724198400,BigBasket,2555.31,UPI,IN,IN,0
TXN000226,CUST0049,45154,zomato,25854.71,upi,IN,IN,0
TXN000227,CUST0032,45053,Zomato,6173.66,UPI,AE,IN,0
TXN000228,CUST0011,1714953600,BigBasket,21925.51,NetBanking,US,IN,0
TXN000229,CUST0038,1707523200,Amazon Ltd,24380.97,NetBanking,IN,IN,0
TXN000230,CUST0016,1726963200,Zomato,38184.35,card,GB,IN,0
TXN000231,CUST0055,2024-11-17T04:59:00,SWIGGY INDIA PVT LTD,1817.43,net_banking,SG,IN,1
TXN000232,CUST0025,2024-01-19T21:20:00,Zomato,38967.6,upi,IN,IN,0
TXN000233,CUST0034,1710892800,Paytm,36435.94,Card,AE,IN,0
TXN000234,CUST0021,2024-07-05T00:53:00,Amazon Ltd,28321.87,Card,AE,IN,0
TXN000235,CUST0049,45099,UBER INDIA,3373.79,net_banking,IN,IN,0
TXN000236,CUST0047,45187,PAYTM LIMITED,48406.79,upi,AE,IN,0
TXN000237,CUST0041,2024-12-13T02:51:00,Paytm,46648.05,card,AE,IN,0
TXN000238,CUST0026,45376,Amazon,18902.47,card,IN,IN,0
TXN000239,CUST0045,45000,Paytm,33034.21,UPI,IN,IN,0
TXN000240,CUST0052,1734825600,NETFLIX INC,21998.67,Card,US,IN,0
TXN000241,CUST0014,45305,zomato,36129.95,card,IN,IN,0
TXN000242,CUST0049,2024-03-25T22:37:00,Paytm,3649929.72,UPI,US,IN,0
TXN000243,CUST0015,2024-01-25T03:14:00,zomato,7119.14,net_banking,SG,IN,0
TXN000244,CUST0007,2024-02-05T08:12:00,Paytm,45750.59,NetBanking,GB,IN,0
TXN000245,CUST0031,2024-06-18T10:34:00,Zomato,4668.55,Card,SG,IN,1
TXN000246,CUST0033,2024-07-10T04:13:00,Amazon Ltd,19200.64,NetBanking,AE,IN,0
TXN000247,CUST0059,1714694400,Amazon Ltd,19726.03,card,GB,IN,0
TXN000248,CUST0025,45398,Paytm,2104.16,net_banking,AE,IN,0
TXN000249,CUST0020,1704412800,Amazon Ltd,15152.49,net_banking,US,IN,0
TXN000250,CUST0034,2024-01-14T03:23:00,flipkart pvt ltd,47678.45,upi,IN,IN,0
TXN000251,CUST0027,45082,Uber,9732.73,NetBanking,IN,IN,1
TXN000252,CUST0044,2024-04-18T15:17:00,Flipkart,28469.05,UPI,IN,IN,0
TXN000253,CUST0030,1710892800,Flipkart,20885.28,UPI,GB,IN,1
TXN000254,CUST0042,45031,Swiggy,41297.85,card,IN,IN,0
TXN000255,CUST0033,2024-12-24T02:27:00,Zomato,7590.81,NetBanking,IN,IN,0
TXN000256,CUST0038,2024-10-01T13:14:00,zomato,27357.33,net_banking,US,IN,0
TXN000257,CUST0024,1711584000,PAYTM LIMITED,12764.84,card,IN,IN,0
TXN000258,CUST0055,2024-09-21T03:21:00,AMAZON INC,45804.4,NetBanking,SG,IN,0
TXN000259,CUST0008,2024-05-28T05:52:00,NETFLIX INC,38.34,UPI,IN,IN,0
TXN000260,CUST0029,45323,SWIGGY INDIA PVT LTD,3320.75,UPI,IN,IN,0
TXN000261,CUST0004,45003,zomato,42943.44,upi,SG,IN,0
TXN000262,CUST0051,1734912000,Amazon,13282.73,net_banking,IN,IN,0
TXN000263,CUST0030,2024-01-08T01:07:00,NETFLIX INC,24138.4,Card,IN,IN,0
TXN000264,CUST0054,1728691200,Amazon,3313.79,UPI,IN,IN,0
TXN000265,CUST0031,2024-08-19T20:28:00,UBER INDIA,23420.65,UPI,IN,IN,0
TXN000266,CUST0048,2024-07-26T09:39:00,Paytm,49060.05,net_banking,IN,IN,0
TXN000267,CUST0051,1718409600,Zomato,46241.84,net_banking,US,IN,0
TXN000268,CUST0001,45346,AMAZON INC,24679.18,Card,AE,IN,1
TXN000269,CUST0046,2024-06-10T13:53:00,Uber,4007.68,Card,US,IN,0
TXN000270,CUST0023,1712620800,Uber,22985.72,card,IN,IN,0
TXN000271,CUST0009,2024-02-05T08:29:00,Swiggy,44971.27,upi,US,IN,0
TXN000272,CUST0039,2024-01-04T01:35:00,SWIGGY INDIA PVT LTD,30843.75,UPI,US,IN,0
TXN000273,CUST0011,1708905600,zomato,48973.11,upi,AE,IN,0
TXN000274,CUST0014,45062,zomato,42531.19,net_banking,IN,IN,0
TXN000275,CUST0021,1711929600,flipkart pvt ltd,47783.86,upi,AE,IN,0
TXN000276,CUST0040,45211,Flipkart,12911.59,card,AE,IN,0
TXN000277,CUST0006,45117,PAYTM LIMITED,27932.84,NetBanking,SG,IN,0
TXN000278,CUST0024,1723507200,Uber,44459.62,upi,IN,IN,0
TXN000279,CUST0052,2024-02-16T05:27:00,Netflix,40720.88,UPI,US,IN,0
TXN000280,CUST0022,45021,NETFLIX INC,16536.69,card,IN,IN,0
TXN000281,CUST0046,45006,Amazon,33250.43,card,IN,IN,0
TXN000282,CUST0032,45049,Flipkart,26340.19,NetBanking,IN,IN,0
TXN000283,CUST0027,45343,SWIGGY INDIA PVT LTD,33390.92,upi,GB,IN,0
TXN000284,CUST0007,2024-08-04T04:37:00,Amazon,41769.58,Card,SG,IN,1
TXN000285,CUST0016,1733270400,Flipkart,29493.08,UPI,GB,IN,0
TXN000286,CUST0034,2024-12-02T14:05:00,Zomato,34133.25,upi,SG,IN,0
TXN000287,CUST0044,1725235200,Netflix,40311.39,upi,AE,IN,0
TXN000288,CUST0031,2024-08-04T07:03:00,zomato,38917.02,upi,GB,IN,0
TXN000289,CUST0046,2024-12-08T10:05:00,PAYTM LIMITED,12272.37,UPI,IN,IN,0
TXN000290,CUST0011,1715472000,Zomato,40748.44,upi,AE,IN,0
TXN000291,CUST0058,45141,BigBasket,21699.33,card,GB,IN,0
TXN000292,CUST0009,2024-05-07T12:11:00,Uber,13616.7,upi,GB,IN,0
TXN000293,CUST0034,1733529600,Flipkart,46997.6,upi,IN,IN,0
TXN000294,CUST0058,1705622400,Zomato,15035.44,upi,IN,IN,0
TXN000295,CUST0045,2024-03-12T17:55:00,Zomato,48638.33,upi,SG,IN,0
TXN000296,CUST0057,45346,Swiggy,49565.73,upi,IN,IN,0
TXN000297,CUST0033,2024-08-14T22:27:00,Flipkart,2573.82,UPI,IN,IN,0
TXN000298,CUST0032,45129,Flipkart,29588.73,upi,IN,IN,1
TXN000299,CUST0041,2024-01-07T03:35:00,Amazon,40085.67,card,IN,IN,0
TXN000300,CUST0014,1717718400,AMAZON INC,12889.54,upi,IN,IN,0
TXN000301,CUST0037,45397,flipkart pvt ltd,41205.21,card,IN,IN,1
TXN000302,CUST0032,1728777600,zomato,27755.15,UPI,US,IN,0
TXN000303,CUST0047,1723161600,Flipkart,42225.96,UPI,US,IN,0
TXN000304,CUST0052,2024-07-14T04:05:00,flipkart pvt ltd,10955.44,card,IN,IN,0
TXN000305,CUST0057,2024-10-03T16:15:00,Flipkart,47809.28,NetBanking,IN,IN,0
TXN000306,CUST0008,1735344000,flipkart pvt ltd,23222.74,NetBanking,GB,IN,0
TXN000307,CUST0055,2024-01-02T01:17:00,Swiggy,7671.38,net_banking,AE,IN,0
TXN000308,CUST0051,2024-07-14T03:19:00,Netflix,4938.88,upi,IN,IN,0
TXN000309,CUST0048,2024-11-19T00:48:00,Paytm,27115.04,net_banking,IN,IN,0
TXN000310,CUST0057,1706832000,Amazon,18156.02,UPI,US,IN,0
TXN000311,CUST0041,2024-10-16T21:29:00,zomato,37128.75,upi,US,IN,1
TXN000312,CUST0014,1714608000,Zomato,20970.38,UPI,IN,IN,0
TXN000313,CUST0050,1734739200,UBER INDIA,16567.34,net_banking,IN,IN,0
TXN000314,CUST0026,2024-10-08T17:49:00,Swiggy,4065.65,UPI,IN,IN,0
TXN000315,CUST0043,45034,Amazon,8130.65,net_banking,AE,IN,1
TXN000316,CUST0043,45288,Paytm,24063.87,card,AE,IN,0
TXN000317,CUST0015,45362,Paytm,46421.21,NetBanking,GB,IN,0
TXN000318,CUST0058,45356,AMAZON INC,3325.37,net_banking,IN,IN,0
TXN000319,CUST0039,2024-10-01T10:15:00,Swiggy,15704.71,upi,SG,IN,0
TXN000320,CUST0018,45362,AMAZON INC,44466.43,upi,GB,IN,1
TXN000321,CUST0036,1719360000,SWIGGY INDIA PVT LTD,21786.82,card,AE,IN,0
TXN000322,CUST0050,1704758400,big basket,40754.89,Card,US,IN,0
TXN000323,CUST0036,45311,Flipkart,7710.76,UPI,GB,IN,0
TXN000324,CUST0033,45019,Netflix,23663.98,net_banking,SG,IN,0
